,성별,확진자 수,사망자 수,날짜,날짜_dt
393,남성,11585309,13895.0,2022-09-30,2022-09-30
394,남성,11572341,13870.0,2022-09-29,2022-09-29
395,여성,13151418,14468.0,2022-09-28,2022-09-28
396,남성,11558371,13850.0,2022-09-28,2022-09-28
397,여성,13131882,14450.0,2022-09-27,2022-09-27
398,남성,11541781,13822.0,2022-09-27,2022-09-27
399,여성,13073010,14347.0,2022-09-23,2022-09-23
400,남성,11492011,13730.0,2022-09-23,2022-09-23
401,여성,13057159,14308.0,2022-09-22,2022-09-22
402,남성,11478781,13701.0,2022-09-22,2022-09-22
403,여성,13039165,14277.0,2022-09-21,2022-09-21
404,남성,11463803,13673.0,2022-09-21,2022-09-21
405,여성,13016849,14246.0,2022-09-20,2022-09-20
406,남성,11444888,13645.0,2022-09-20,2022-09-20
407,여성,12991237,14235.0,2022-09-19,2022-09-19
408,남성,11422636,13632.0,2022-09-19,2022-09-19
409,여성,12981157,14207.0,2022-09-18,2022-09-18
410,남성,11413309,13621.0,2022-09-18,2022-09-18
411,여성,12962638,14191.0,2022-09-17,2022-09-17
412,남성,11397064,13591.0,2022-09-17,2022-09-17
413,여성,12939352,14158.0,2022-09-16,2022-09-16
414,남성,11376950,13567.0,2022-09-16,2022-09-16
415,여성,12911382,14128.0,2022-09-15,2022-09-15
416,남성,11353088,13537.0,2022-09-15,2022-09-15
417,여성,12872596,14093.0,2022-09-14,2022-09-14
418,남성,11320442,13500.0,2022-09-14,2022-09-14
419,여성,12821228,14071.0,2022-09-13,2022-09-13
420,남성,11277906,13462.0,2022-09-13,2022-09-13
421,여성,12790118,14051.0,2022-09-12,2022-09-12
422,남성,11251707,13447.0,2022-09-12,2022-09-12
423,여성,12770463,14044.0,2022-09-11,2022-09-11
424,남성,11234424,13432.0,2022-09-11,2022-09-11
425,여성,12755688,14018.0,2022-09-10,2022-09-10
426,남성,11220985,13411.0,2022-09-10,2022-09-10
427,여성,12732921,13990.0,2022-09-09,2022-09-09
428,남성,11201028,13391.0,2022-09-09,2022-09-09
429,여성,12694766,13958.0,2022-09-08,2022-09-08
430,남성,11169794,13355.0,2022-09-08,2022-09-08
431,여성,12654582,13931.0,2022-09-07,2022-09-07
432,남성,11137379,13318.0,2022-09-07,2022-09-07
433,여성,12607743,13904.0,2022-09-06,2022-09-06
434,남성,11098734,13289.0,2022-09-06,2022-09-06
435,여성,12553824,13878.0,2022-09-05,2022-09-05
436,남성,11052916,13271.0,2022-09-05,2022-09-05
437,여성,12534044,13846.0,2022-09-04,2022-09-04
438,남성,11035148,13247.0,2022-09-04,2022-09-04
439,여성,12534044,13846.0,2022-09-04,2022-09-04
440,남성,11035148,13247.0,2022-09-04,2022-09-04
441,여성,12494844,13808.0,2022-09-03,2022-09-03
442,남성,11002204,13206.0,2022-09-03,2022-09-03
443,여성,12452049,13771.0,2022-09-02,2022-09-02
444,남성,10965376,13169.0,2022-09-02,2022-09-02
